defense,tp,fp,fn,precision,precision_lo,precision_hi,recall,recall_lo,recall_hi,f1,f1_lo,f1_hi
Defense A (DeBERTa),182,8,60,0.9578947368421052,0.9191271872442407,0.9785129477938522,0.7520661157024794,0.694004791601673,0.8022497072300953,0.8425925925925926,0.8083008827677663,0.8778335724533715
Defense B v1.25 (Sonnet),68,0,174,1.0,0.9465268034119508,1.0,0.2809917355371901,0.22812209374749576,0.34070596464457464,0.43870967741935485,0.3687894851499528,0.503068437297565
Defense C v1.25 (A + B),194,8,48,0.9603960396039604,0.9238094270597672,0.9797980070060388,0.8016528925619835,0.7468703062217611,0.8470080284457647,0.8738738738738738,0.8441133941482051,0.9054945054945055
