classifier,scope,n,accuracy [95% CI],precision [95% CI],recall [95% CI],f1 [95% CI],auc [95% CI]
deberta,overall,4546,"0.909 [0.900, 0.917]","0.950 [0.940, 0.958]","0.875 [0.861, 0.888]","0.911 [0.901, 0.919]","0.966 [0.960, 0.970]"
deberta,deepset,546,"0.780 [0.745, 0.813]","0.956 [0.910, 0.990]","0.429 [0.362, 0.500]","0.592 [0.524, 0.656]","0.881 [0.846, 0.915]"
deberta,neuralchemy,2000,"0.901 [0.888, 0.914]","0.985 [0.976, 0.991]","0.850 [0.828, 0.870]","0.912 [0.899, 0.924]","0.970 [0.962, 0.977]"
deberta,spml,2000,"0.952 [0.942, 0.961]","0.915 [0.898, 0.932]","0.995 [0.990, 0.999]","0.954 [0.944, 0.963]","0.998 [0.996, 0.999]"
pg2,overall,4546,"0.732 [0.720, 0.745]","0.984 [0.976, 0.990]","0.503 [0.486, 0.523]","0.666 [0.650, 0.683]","0.933 [0.926, 0.940]"
pg2,deepset,546,"0.723 [0.683, 0.762]","0.982 [0.938, 1.000]","0.261 [0.201, 0.322]","0.412 [0.333, 0.484]","0.948 [0.929, 0.964]"
pg2,neuralchemy,2000,"0.701 [0.680, 0.720]","0.971 [0.957, 0.983]","0.520 [0.491, 0.547]","0.677 [0.651, 0.700]","0.854 [0.836, 0.868]"
pg2,spml,2000,"0.766 [0.748, 0.783]","1.000 [1.000, 1.000]","0.532 [0.500, 0.561]","0.695 [0.667, 0.719]","0.995 [0.993, 0.997]"
